hn,date_of_submission,species,submitted_sample,vitek_id,bacteria_genus,report_issued_date,ans_amikacin,ans_amoxicillin/clavulanic acid,ans_azithromycin,ans_cefalexin,ans_cefazolin,ans_cefixime,ans_cefovecin,ans_cefpodoxime,ans_ceftriaxone,ans_chloramphenicol,ans_clindamycin,ans_doxycycline,ans_enrofloxacin,ans_fluconazole,ans_fosfomycin,ans_gentamicin,ans_imipenem,ans_marbofloxacin,ans_metronidazole,ans_minocycline,ans_nitrofurantoin,ans_piperacillin/tazobactam,ans_polymyxin b,ans_pradofloxacin,ans_rifampicin,ans_tetracycline,ans_trimethoprim/sulfamethoxazole,ans_vancomycin,S/I/R_amikacin,S/I/R_amoxicillin/clavulanic acid,S/I/R_ampicillin,S/I/R_benzylpenicillin,S/I/R_cefalexin,S/I/R_cefalotin,S/I/R_cefotaxime,S/I/R_cefovecin,S/I/R_cefoxitin screen,S/I/R_cefpodoxime,S/I/R_ceftiofur,S/I/R_ceftriaxone,S/I/R_chloramphenicol,S/I/R_clindamycin,S/I/R_doxycycline,S/I/R_enrofloxacin,S/I/R_erythromycin,S/I/R_esbl,S/I/R_florfenicol,S/I/R_fusidic acid,S/I/R_gentamicin,S/I/R_imipenem,S/I/R_inducible clindamycin resistance,S/I/R_levofloxacin,S/I/R_linezolid,S/I/R_marbofloxacin,S/I/R_minocycline,S/I/R_moxifloxacin,S/I/R_mupirocin,S/I/R_neomycin,S/I/R_nitrofurantoin,S/I/R_oxacillin,S/I/R_piperacillin,S/I/R_polymyxin b,S/I/R_pradofloxacin,S/I/R_rifampicin,S/I/R_teicoplanin,S/I/R_tetracycline,S/I/R_tigecycline,S/I/R_tobramycin,S/I/R_trimethoprim/sulfamethoxazole,S/I/R_vancomycin
42871,2020-08-31,cat,chronic wound,GN,serratia,2020-09-08,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,S,,,S,,S,,S,S,,,,,S,,,,,S,,,,S,R,,,,S,,,R,,,S,
42872,2020-12-02,cat,urine,GN,escherichia,2020-12-07,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,S,S,,S,,S,S,,R,,R,R,,-,,,I,S,,,,R,,,,S,S,,,,R,,,R,,,S,
42873,2020-09-23,dog,urine,GN,acinetobacter,2020-09-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,R,R,,,,,R,S,,,,R,,,,,,,,,,,,R,,,R,
42874,2020-09-07,cat,open wound,GN,escherichia,2020-09-10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,S,,S,S,,R,,R,I,,-,,,S,S,,,,S,,,,S,S,,,,I,,,R,,,S,
42875,2020-09-10,dog,chronic wound,GN,proteus,2020-09-15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,R,R,,R,,R,R,,R,,R,R,,,,,R,I,,,,R,,,,I,R,,,,R,,,R,,,R,
42876,2020-12-25,dog,surgical wound,GN,enterobacter,2020-12-29,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,R,,R,R,,S,,I,S,,,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42877,2020-09-16,cat,surgical site,GN,pseudomonas,2020-09-21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,R,,,,,,,,,,,,,,,R,,,,,R,S,,,,R,,,,,,,,,,,,,,,,
42878,2020-09-27,dog,abdominal cavity,GN,escherichia,2020-10-01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,S,,S,S,,S,,R,I,,-,,,S,S,,,,S,,,,S,S,,,,I,,,R,,,S,
42879,2020-09-22,cat,nasal cavity,GN,pseudomonas,2020-09-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,I,,,,,,,,,,,,,,,R,,,,,R,S,,,,R,,,,,,,,,,,,,,,,
42880,2020-09-22,cat,nasal cavity,GN,pseudomonas,2020-09-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,I,,,,,,,,,,,,,,,R,,,,,I,S,,,,R,,,,,,,,,,,,,,,,
42881,2020-10-20,dog,surgical site,GN,pseudomonas,2020-10-26,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42882,2020-09-15,dog,ear exudate,GN,escherichia,2020-09-21,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,R,R,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42883,2020-09-22,dog,abdominal cavity,GN,klebsiella,2020-09-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,R,R,R,,R,R,,R,,R,R,,R,,R,R,,+,,,R,S,,,,R,,,,S,I,,,,R,,,R,,,R,
42884,2020-09-16,dog,open wound,GN,acinetobacter,2020-09-18,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,S,S,,,,,S,S,,,,S,,,,,,,,,,,,S,,,S,
42885,2020-09-22,dog,wound,GN,pseudomonas,2020-09-29,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42886,2020-09-25,dog,open wound,GN,klebsiella,2020-09-25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,S,R,,R,R,,R,,R,R,,R,,R,I,,+,,,R,S,,,,S,,,,S,S,,,,I,,,R,,,R,
42887,2020-09-18,cat,abdominal cavity,GN,acinetobacter,2020-09-25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,S,S,,,,,S,S,,,,S,,,,,,,,,,,,R,,,S,
42888,2020-09-17,dog,wound,GN,klebsiella,2020-09-22,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,I,,,,S,,,S,,,S,
42889,2020-10-07,cat,abdominal cavity,GN,escherichia,2020-10-14,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,R,R,,R,,R,R,,S,,I,R,,+,,,R,S,,,,R,,,,S,S,,,,R,,,R,,,R,
42890,2020-09-21,cat,abdominal cavity,GN,acinetobacter,2020-09-29,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,S,S,,,,,S,S,,,,S,,,,,,,,,,,,S,,,S,
42891,2020-09-23,cat,abdominal cavity,GN,pseudomonas,2020-09-28,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42892,2020-09-22,cat,urine,GN,proteus,2020-09-28,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,R,S,,,,,S,I,,,,S,,,,S,R,,,,S,,,R,,,S,
42893,2020-09-24,dog,abdominal cavity,GN,escherichia,2020-09-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,R,R,R,,R,R,,R,,R,R,,R,,R,R,,+,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,R,
42894,2020-10-26,cat,open wound,GN,escherichia,2020-10-30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,R,R,,R,,R,R,,R,,R,R,,+,,,R,S,,,,R,,,,I,S,,,,R,,,R,,,R,
42895,2020-09-26,cat,flank abscess,GN,enterobacter,2020-10-02,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,I,,R,S,,I,,S,S,,,,,S,S,,,,S,,,,S,I,,,,S,,,S,,,S,
42896,2021-01-25,cat,abscess,GN,pasteurella,2021-01-28,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,,S,,,,,S,S,,S,,,S,,,,,S,S,,,,S,,,,S,,,,,S,,,S,,,S,
42897,2020-10-07,cat,open wound,GN,pasteurella,2020-10-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,,R,R,,R,,,,,R,R,,R,,,I,,,,,S,S,,,,S,,,,S,,,,,S,,,R,,,I,
42898,2020-09-30,dog,urine,GN,proteus,2020-10-06,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,I,R,,S,S,,S,,S,S,,S,,R,S,,,,,R,S,,,,S,,,,,R,,,,S,,,R,,,S,
42899,2020-10-05,dog,abdominal cavity,GN,escherichia,2020-10-12,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,S,S,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42900,2020-09-30,cat,urine,GN,escherichia,2020-10-07,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,R,,R,R,,R,,I,S,,+,,,R,S,,,,S,,,,S,S,,,,S,,,R,,,S,
42901,2020-10-20,dog,ear exudate,GN,proteus,2020-10-28,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,R,S,,,,,S,S,,,,S,,,,S,R,,,,I,,,R,,,S,
42902,2020-10-06,cat,urine,GN,pseudomonas,2020-10-12,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,S,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42903,2020-10-16,cat,urine,GN,pseudomonas,2020-10-21,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,R,,,,,R,S,,,,R,,,,,,,,,,,,,,,,
42904,2020-10-09,cat,surgical site,GN,pseudomonas,2020-10-15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42905,2020-10-20,dog,surgical site,GN,novosphingobium,2020-10-28,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42906,2020-10-07,cat,wound,GN,pseudomonas,2020-10-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,R,,,,,,,,,,,,,,,R,,,,,R,S,,,,R,,,,,,,,,,,,,,,,
42907,2020-10-20,cat,pleural effusion,GN,burkholderia,2020-10-28,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,R,,,,,,,,,,,,R,,S,R,,,,,R,R,,,,S,,,,,,,,,,,,R,,,S,
42908,2020-10-12,cat,bite wound,GN,serratia,2020-10-19,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,S,,,S,,I,,S,S,,,,,S,,,,,S,,,,S,R,,,,S,,,R,,,S,
42909,2020-10-14,cat,tibia,GN,pseudomonas,2020-10-22,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,,,,,,,,,,,,I,,S,S,,,,,S,S,,,,S,,,,,,,,,,,,S,,,S,
42910,2020-10-28,dog,urine,GN,pseudomonas,2020-11-02,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42911,2020-10-14,dog,urine,GN,klebsiella,2020-10-19,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,S,S,,,,,S,S,,,,S,,,,S,R,,,,S,,,S,,,S,
42912,2020-10-16,dog,surgical site,GN,klebsiella,2020-10-26,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,I,,,,S,,,S,,,S,
42913,2020-10-15,dog,abdominal cavity,GN,elizabethkingia,2020-10-22,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,R,,,,,,,,,,,,I,,S,S,,,,,R,R,,,,S,,,,,,,,,,,,R,,,R,
42914,2020-10-20,dog,urine,GN,proteus,2020-10-26,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,I,,R,S,,,,,S,I,,,,S,,,,S,R,,,,S,,,R,,,S,
42915,2021-01-06,cat,ub mucosa,GN,proteus,2021-01-13,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,,,R,I,,,,,S,I,,,,S,,,,S,R,,,,R,,,R,,,S,
42916,2020-10-24,dog,wound,GN,escherichia,2020-10-29,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,S,,S,S,,R,,S,I,,-,,,S,S,,,,S,,,,S,S,,,,I,,,R,,,R,
42917,2020-11-09,dog,ub mucosa,GN,proteus,2020-11-13,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,S,S,R,,S,S,,S,,S,S,,R,,R,R,,,,,R,R,,,,R,,,,S,R,,,,R,,,R,,,R,
42918,2020-10-21,cat,chronic wound,GN,ignatzschineria,2020-10-28,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,
42919,2020-10-25,dog,urine,GN,proteus,2020-10-28,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,R,S,,,,,S,I,,,,S,,,,S,R,,,,S,,,R,,,S,
42920,2020-10-28,cat,open wound,GN,serratia,2020-11-03,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,,,R,R,,S,,,S,,I,,S,S,,,,,S,,,,,S,,,,S,R,,,,S,,,R,,,S,
42921,2020-12-28,dog,urine,GN,escherichia,2020-12-30,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,R,R,,-,,,R,S,,,,R,,,,S,S,,,,R,,,R,,,S,
42922,2020-10-30,cat,wound,GN,pasteurella,2020-11-04,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,S,S,,S,,,,,S,S,,S,,,S,,,,,S,S,,,,S,,,,,,,,,S,,,S,,,S,
42923,2020-11-03,cat,peritoneal effusion,GN,escherichia,2020-11-06,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,R,R,,R,R,,R,,R,R,,R,,R,R,,-,,,R,S,,,,R,,,,I,I,,,,R,,,R,,,R,
42924,2020-11-16,dog,bal fluid,GN,klebsiella,2020-11-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,R,R,R,,R,R,,R,,R,R,,R,,R,R,,-,,,R,S,,,,R,,,,R,I,,,,R,,,R,,,R,
42925,2020-05-05,dog,urine,GN,klebsiella,2020-05-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,S,R,,R,R,,R,,R,R,,R,,R,I,,+,,,R,S,,,,S,,,,S,R,,,,I,,,R,,,S,
42926,2020-11-06,dog,urine,GN,escherichia,2020-11-11,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,S,I,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42927,2020-11-18,dog,urine,GN,escherichia,2020-11-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,I,R,R,,R,R,,R,,R,R,,R,,R,R,,+,,,R,S,,,,R,,,,S,I,,,,R,,,R,,,R,
42928,2020-12-08,dog,ub mucosa,GN,stenotrophomonas,2020-12-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,
42929,2021-03-29,dog,pg abscess,GN,pseudomonas,2021-03-31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,R,,,R,,,,,R,,,,,S,S,,,,R,,,,,,,,,,,,,,,,
42930,2020-11-13,dog,ear: pus,GN,pseudomonas,2020-11-23,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,R,,,,,S,S,,,,R,,,,,,,,,,,,,,,,
42931,2020-12-09,cat,urine,GN,klebsiella,2020-12-15,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,R,I,,-,,,S,S,,,,S,,,,S,I,,,,I,,,R,,,S,
42932,2020-11-11,dog,urine,GN,escherichia,2020-11-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,S,R,R,,,R,,,,R,,,S,,,,,+,,,S,,,,,S,,,,,I,,,,,,,R,,,,
42933,2020-11-12,cat,urine,GN,acinetobacter,2020-11-17,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,,,S,S,,,,,S,S,,,,S,,,,,,,,,,,,S,,,S,
42934,2020-11-27,dog,open wound,GN,pseudomonas,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42935,2020-11-16,dog,urine,GN,klebsiella,2020-11-23,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,I,R,,R,R,,R,,R,R,,S,,R,R,,+,,,R,S,,,,R,,,,S,I,,,,R,,,R,,,R,
42936,2020-11-15,cat,urine,GN,acinetobacter,2020-11-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,R,R,,,,,R,R,,,,R,,,,,,,,,,,,R,,,R,
42937,2020-11-24,dog,abdominal cavity,GN,pseudomonas,2020-12-01,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
42938,2020-11-25,cat,urine,GN,escherichia,2020-12-01,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42939,2020-11-18,dog,abscess,GN,escherichia,2020-11-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,R,R,,R,R,,S,,S,S,,S,,R,R,,-,,,S,S,,,,R,,,,I,S,,,,R,,,R,,,S,
42940,2020-12-22,cat,bronchoalveolar,GN,pseudomonas,2020-12-25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,R,,,,,,,,,,,,,,,S,,,,,R,S,,,,S,,,,,,,,,,,,,,,,
42941,2020-11-24,dog,urine,GN,klebsiella,2020-11-27,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,R,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,R,,,,S,,,S,,,S,
42942,2020-11-23,dog,urine,GN,escherichia,2020-11-27,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,S,S,S,,S,S,,S,,S,S,,S,,S,S,,-,,,S,S,,,,S,,,,S,S,,,,S,,,S,,,S,
42943,2020-11-25,cat,open wound,GN,serratia,2020-12-01,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R,R,,,R,R,,R,,,R,,S,,S,R,,,,,R,,,,,I,,,,S,R,,,,I,,,R,,,R,
42944,2020-12-07,dog,ub mucosa,GN,pseudomonas,2020-12-15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,R,,,,,I,S,,,,R,,,,,,,,,,,,,,,,
42945,2021-01-21,dog,ub mucosa,GN,escherichia,2021-01-27,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,S,R,R,,S,S,,I,,S,S,,I,,R,R,,-,,,S,S,,,,R,,,,S,S,,,,R,,,R,,,R,
42946,2020-12-01,dog,urine,GN,pseudomonas,2020-12-04,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,S,,,,,,,,,,,,,,,I,,,,,S,S,,,,S,,,,,,,,,,,,,,,,
